model,sweep_type,input_tokens_requested,output_tokens_requested,run,elapsed_s,energy_uj,cpu_freq_khz
llama-1b,input_sweep,2048,64,3,7.049999591,116824108400,4100000
llama-1b,input_sweep,2048,64,3,8.057162014,116843592420,3300033
llama-1b,input_sweep,2048,64,3,9.067352744,116857928931,400000
llama-1b,input_sweep,2048,64,3,10.076993979,116872724669,3200000
llama-1b,input_sweep,2048,64,3,11.087430040,116887132469,400000
llama-1b,input_sweep,2048,64,3,12.097728766,116901900315,400000
llama-1b,input_sweep,2048,64,3,13.107229454,116916654000,400000
llama-1b,input_sweep,2048,64,3,14.117226090,116931465181,400000
llama-1b,input_sweep,2048,64,3,15.127163670,116946278009,3324087
llama-1b,input_sweep,2048,64,3,16.137433299,116961072221,400000
llama-1b,input_sweep,2048,64,3,17.147210863,116975944681,400000
llama-1b,input_sweep,2048,64,3,18.155929795,116990858949,400000
llama-1b,input_sweep,2048,64,3,19.165992706,117005955224,3299966
llama-1b,input_sweep,2048,64,3,20.175675433,117020614733,3499863
llama-1b,input_sweep,2048,64,3,21.185007495,117035669259,3500000
llama-1b,input_sweep,2048,64,3,22.194898386,117050661042,3499960
llama-1b,input_sweep,2048,64,3,23.204655974,117065781304,3499960
llama-1b,input_sweep,2048,64,4,.000884888,117103024861,400000
llama-1b,input_sweep,2048,64,4,1.007500364,117120848058,400000
llama-1b,input_sweep,2048,64,4,2.014749067,117148514979,4100041
llama-1b,input_sweep,2048,64,4,3.021795766,117176658156,4100000
llama-1b,input_sweep,2048,64,4,4.028899264,117205089602,4100000
llama-1b,input_sweep,2048,64,4,5.035712262,117232844780,400000
llama-1b,input_sweep,2048,64,4,6.042430754,117260798932,4103039
llama-1b,input_sweep,2048,64,4,7.049377640,117288911287,400000
llama-1b,input_sweep,2048,64,4,8.056406249,117316973715,400000
llama-1b,input_sweep,2048,64,4,9.063601683,117344607800,4100000
llama-1b,input_sweep,2048,64,4,10.070457948,117372041323,4100000
llama-1b,input_sweep,2048,64,4,11.077479254,117399876091,4100000
llama-1b,input_sweep,2048,64,4,12.084230235,117427741498,4101357
llama-1b,input_sweep,2048,64,4,13.091045943,117455832491,400000
llama-1b,input_sweep,2048,64,4,14.098428471,117482825952,400000
llama-1b,input_sweep,2048,64,4,15.105371521,117513482734,400000
llama-1b,input_sweep,2048,64,4,16.112691275,117544252613,4100000
llama-1b,input_sweep,2048,64,4,17.120103848,117567483511,2842525
llama-1b,input_sweep,2048,64,4,18.128717885,117585984074,3700000
llama-1b,input_sweep,2048,64,4,19.136709573,117604703752,3700714
llama-1b,input_sweep,2048,64,4,20.145402819,117620885291,400000
llama-1b,input_sweep,2048,64,5,.000871375,117673192041,400000
